Anno,Nazione,Valore,
2004,Belgium,0.642212356,Center
2005,Belgium,0.663485371,Center
2006,Belgium,0.676134791,Center
2007,Belgium,0.670972513,Center
2008,Belgium,0.711758228,Center
2009,Belgium,2.189959978,Center
2010,Belgium,4.800259909,Center
2011,Belgium,4.802362845,Center
2012,Belgium,4.914488653,Center
2013,Belgium,5.08799781,Center
2014,Belgium,5.8450701,Center
2015,Belgium,3.921237612,Center
2016,Belgium,6.029386814,Center
2017,Belgium,6.637323627,Center
2018,Belgium,6.709170169,Center
2019,Belgium,6.816810062,Center
2020,Belgium,11.03462694,Center
2004,Bulgaria,0.971271264,South
2005,Bulgaria,0.884036416,South
2006,Bulgaria,1.04944185,South
2007,Bulgaria,0.955984445,South
2008,Bulgaria,0.938456046,South
2009,Bulgaria,1.091598985,South
2010,Bulgaria,1.497628257,South
2011,Bulgaria,0.898186793,South
2012,Bulgaria,0.649725623,South
2013,Bulgaria,5.8855445,South
2014,Bulgaria,5.741757228,South
2015,Bulgaria,6.491598428,South
2016,Bulgaria,7.202599442,South
2017,Bulgaria,7.272895381,South
2018,Bulgaria,8.075590982,South
2019,Bulgaria,7.893056862,South
2020,Bulgaria,9.100600469,South
2004,Czechia,1.20253178,Center
2005,Czechia,1.098585331,Center
2006,Czechia,1.072917775,Center
2007,Czechia,1.048313269,Center
2008,Czechia,2.842550914,Center
2009,Czechia,4.312231941,Center
2010,Czechia,5.219985653,Center
2011,Czechia,1.285296392,Center
2012,Czechia,6.248678051,Center
2013,Czechia,6.444501653,Center
2014,Czechia,6.99677021,Center
2015,Czechia,6.536514055,Center
2016,Czechia,6.496172922,Center
2017,Czechia,6.616399733,Center
2018,Czechia,6.556097652,Center
2019,Czechia,7.840791441,Center
2020,Czechia,9.383061436,Center
2004,Denmark,0.444862692,North
2005,Denmark,0.442992984,North
2006,Denmark,0.520838333,North
2007,Denmark,0.534624505,North
2008,Denmark,0.540392247,North
2009,Denmark,0.692969448,North
2010,Denmark,1.14963977,North
2011,Denmark,3.608696258,North
2012,Denmark,6.277912752,North
2013,Denmark,6.456261423,North
2014,Denmark,6.556385087,North
2015,Denmark,6.432085474,North
2016,Denmark,6.731666276,North
2017,Denmark,6.93545382,North
2018,Denmark,6.919770271,North
2019,Denmark,7.110155521,North
2020,Denmark,9.57408558,North
2004,Germany,2.136113712,Center
2005,Germany,3.952795499,Center
2006,Germany,6.701135651,Center
2007,Germany,7.531845966,Center
2008,Germany,6.315727563,Center
2009,Germany,5.87688713,Center
2010,Germany,6.412799386,Center
2011,Germany,6.460650604,Center
2012,Germany,7.32182327,Center
2013,Germany,7.298594718,Center
2014,Germany,6.899558216,Center
2015,Germany,6.568514965,Center
2016,Germany,7.012658385,Center
2017,Germany,7.02808102,Center
2018,Germany,7.940755122,Center
2019,Germany,7.629547474,Center
2020,Germany,9.918380485,Center
2004,Estonia,0.200413949,North
2005,Estonia,0.234997265,North
2006,Estonia,0.184161408,North
2007,Estonia,0.168204071,North
2008,Estonia,0.184677542,North
2009,Estonia,0.437678926,North
2010,Estonia,0.432811429,North
2011,Estonia,0.445445051,North
2012,Estonia,0.450937814,North
2013,Estonia,0.447713034,North
2014,Estonia,0.418270519,North
2015,Estonia,0.413391519,North
2016,Estonia,0.431039231,North
2017,Estonia,0.417219119,North
2018,Estonia,3.315439916,North
2019,Estonia,6.243440014,North
2020,Estonia,12.16470358,North
2004,Ireland,0.044068185,North
2005,Ireland,0.075257055,North
2006,Ireland,0.101863288,North
2007,Ireland,0.503309185,North
2008,Ireland,1.304598908,North
2009,Ireland,1.961512842,North
2010,Ireland,2.491058102,North
2011,Ireland,3.843526516,North
2012,Ireland,4.043516443,North
2013,Ireland,4.897928545,North
2014,Ireland,5.203752849,North
2015,Ireland,5.941644884,North
2016,Ireland,5.158945042,North
2017,Ireland,7.442262825,North
2018,Ireland,7.185630944,North
2019,Ireland,8.917210362,North
2020,Ireland,10.18650683,North
2004,Greece (provisional),0.086626333,South
2005,Greece (provisional),0.059097754,South
2006,Greece (provisional),0.734685705,South
2007,Greece (provisional),1.269467798,South
2008,Greece (provisional),1.061606025,South
2009,Greece (provisional),1.101848652,South
2010,Greece (provisional),1.915321979,South
2011,Greece (provisional),0.60017689,South
2012,Greece (provisional),0.902733837,South
2013,Greece (provisional),0.980165992,South
2014,Greece (provisional),1.325922095,South
2015,Greece (provisional),1.099803804,South
2016,Greece (provisional),1.623726521,South
2017,Greece (provisional),4.001399261,South
2018,Greece (provisional),4.107660673,South
2019,Greece (provisional),4.048678464,South
2020,Greece (provisional),5.34136714,South
2004,Spain,1.03492271,South
2005,Spain,1.266552294,South
2006,Spain,0.837448977,South
2007,Spain,1.375341033,South
2008,Spain,2.164929801,South
2009,Spain,3.710220737,South
2010,Spain,5.017632829,South
2011,Spain,0.766616541,South
2012,Spain,0.868524067,South
2013,Spain,0.949899857,South
2014,Spain,1.023855296,South
2015,Spain,1.08783831,South
2016,Spain,5.166778601,South
2017,Spain,5.797936703,South
2018,Spain,6.938454014,South
2019,Spain,7.610372371,South
2020,Spain,9.528242683,South
2004,France,0.783094697,Center
2005,France,0.784097239,Center
2006,France,0.791718263,Center
2007,France,0.827552071,Center
2008,France,6.24546324,Center
2009,France,6.648967725,Center
2010,France,6.5773096,Center
2011,France,0.986995088,Center
2012,France,7.414453943,Center
2013,France,7.599761856,Center
2014,France,8.24870569,Center
2015,France,8.365805204,Center
2016,France,8.405448221,Center
2017,France,8.764679505,Center
2018,France,8.963053009,Center
2019,France,9.248394054,Center
2020,France,9.206847347,Center
2004,Croatia,0.995450237,South
2005,Croatia,1.025440288,South
2006,Croatia,1.005297149,South
2007,Croatia,1.120964317,South
2008,Croatia,1.071536559,South
2009,Croatia,1.291183832,South
2010,Croatia,1.123294908,South
2011,Croatia,1.028755134,South
2012,Croatia,1.048604408,South
2013,Croatia,2.714734007,South
2014,Croatia,2.652176525,South
2015,Croatia,2.361053767,South
2016,Croatia,1.217820649,South
2017,Croatia,1.174139301,South
2018,Croatia,2.582108752,South
2019,Croatia,5.854721902,South
2020,Croatia,6.593413639,South
2004,Italy,1.213160211,South
2005,Italy,1.048224148,South
2006,Italy,0.994829663,South
2007,Italy,0.963919401,South
2008,Italy,2.61634407,South
2009,Italy,3.998968999,South
2010,Italy,4.915629283,South
2011,Italy,5.060101335,South
2012,Italy,6.155393913,South
2013,Italy,5.411138559,South
2014,Italy,5.019621668,South
2015,Italy,6.504548651,South
2016,Italy,7.413531164,South
2017,Italy,6.483827266,South
2018,Italy,7.658901899,South
2019,Italy,9.046573948,South
2020,Italy,10.73587587,South
2004,Cyprus,0,South
2005,Cyprus,0,South
2006,Cyprus,0,South
2007,Cyprus,0,South
2008,Cyprus,1.920768307,South
2009,Cyprus,2.035532831,South
2010,Cyprus,1.99391365,South
2011,Cyprus,0,South
2012,Cyprus,0,South
2013,Cyprus,1.126566702,South
2014,Cyprus,2.679674034,South
2015,Cyprus,2.52140459,South
2016,Cyprus,2.671166021,South
2017,Cyprus,2.561288927,South
2018,Cyprus,2.660778111,South
2019,Cyprus,3.316393312,South
2020,Cyprus,7.400582869,South
2004,Latvia,2.138908785,North
2005,Latvia,2.389284895,North
2006,Latvia,2.16530646,North
2007,Latvia,1.665924254,North
2008,Latvia,1.687879944,North
2009,Latvia,1.888099175,North
2010,Latvia,3.977517341,North
2011,Latvia,4.090052877,North
2012,Latvia,3.994791639,North
2013,Latvia,4.029111011,North
2014,Latvia,4.075276324,North
2015,Latvia,3.63916767,North
2016,Latvia,2.448517529,North
2017,Latvia,2.269630757,North
2018,Latvia,4.728794528,North
2019,Latvia,4.553802727,North
2020,Latvia,6.732954292,North
2004,Lithuania,0.446143403,North
2005,Lithuania,0.656654123,North
2006,Lithuania,1.905300662,North
2007,Lithuania,3.821158815,North
2008,Lithuania,4.317534011,North
2009,Lithuania,4.480846164,North
2010,Lithuania,3.794044131,North
2011,Lithuania,3.827614884,North
2012,Lithuania,4.972831289,North
2013,Lithuania,4.835348356,North
2014,Lithuania,4.35494787,North
2015,Lithuania,4.582385551,North
2016,Lithuania,3.648743267,North
2017,Lithuania,4.300252673,North
2018,Lithuania,4.333412407,North
2019,Lithuania,4.048676761,North
2020,Lithuania,5.502775966,North
2004,Luxembourg,0.137655584,Center
2005,Luxembourg,0.158759738,Center
2006,Luxembourg,0.189047909,Center
2007,Luxembourg,2.20293047,Center
2008,Luxembourg,2.173358537,Center
2009,Luxembourg,2.23251185,Center
2010,Luxembourg,2.093288134,Center
2011,Luxembourg,2.359662374,Center
2012,Luxembourg,2.82650115,Center
2013,Luxembourg,4.073718112,Center
2014,Luxembourg,5.55047486,Center
2015,Luxembourg,6.699748364,Center
2016,Luxembourg,5.964990216,Center
2017,Luxembourg,6.478146292,Center
2018,Luxembourg,6.596486627,Center
2019,Luxembourg,7.706786204,Center
2020,Luxembourg,12.58065649,Center
2004,Hungary,1.01632566,Center
2005,Hungary,1.006107469,Center
2006,Hungary,1.217499824,Center
2007,Hungary,1.633153342,Center
2008,Hungary,5.182604809,Center
2009,Hungary,5.886900725,Center
2010,Hungary,6.162510178,Center
2011,Hungary,6.174031384,Center
2012,Hungary,5.998306053,Center
2013,Hungary,6.341128709,Center
2014,Hungary,7.001364745,Center
2015,Hungary,7.1686747,Center
2016,Hungary,7.768273518,Center
2017,Hungary,7.731064274,Center
2018,Hungary,7.745953574,Center
2019,Hungary,8.05688204,Center
2020,Hungary,11.57130876,Center
2004,Malta,0,South
2005,Malta,0,South
2006,Malta,0,South
2007,Malta,0,South
2008,Malta,0,South
2009,Malta,0,South
2010,Malta,0,South
2011,Malta,2.015845457,South
2012,Malta,3.215805398,South
2013,Malta,3.483984077,South
2014,Malta,4.667026698,South
2015,Malta,4.678784776,South
2016,Malta,5.269069369,South
2017,Malta,6.825758896,South
2018,Malta,8.019080916,South
2019,Malta,8.902283174,South
2020,Malta,10.58639394,South
2004,Netherlands,0.514676411,North
2005,Netherlands,0.498614136,North
2006,Netherlands,0.850378778,North
2007,Netherlands,3.182392365,North
2008,Netherlands,2.98123924,North
2009,Netherlands,4.569590146,North
2010,Netherlands,3.396792889,North
2011,Netherlands,5.068104046,North
2012,Netherlands,5.216536718,North
2013,Netherlands,5.342611184,North
2014,Netherlands,6.562474851,North
2015,Netherlands,5.597322407,North
2016,Netherlands,4.761031584,North
2017,Netherlands,5.842359982,North
2018,Netherlands,9.48321775,North
2019,Netherlands,12.32563255,North
2020,Netherlands,12.63122385,North
2004,Austria,4.532344226,Center
2005,Austria,5.06967066,Center
2006,Austria,7.532470869,Center
2007,Austria,8.241116249,Center
2008,Austria,9.559864201,Center
2009,Austria,11.17453395,Center
2010,Austria,10.70544434,Center
2011,Austria,10.07677822,Center
2012,Austria,10.03088208,Center
2013,Austria,9.695433664,Center
2014,Austria,10.98348401,Center
2015,Austria,11.40910468,Center
2016,Austria,10.5828866,Center
2017,Austria,9.702855529,Center
2018,Austria,9.93059476,Center
2019,Austria,10.05126544,Center
2020,Austria,10.28311536,Center
2004,Poland,1.581325423,Center
2005,Poland,1.745800422,Center
2006,Poland,1.817180935,Center
2007,Poland,1.745548554,Center
2008,Poland,4.142893625,Center
2009,Poland,5.40781222,Center
2010,Poland,6.639815312,Center
2011,Poland,6.918083779,Center
2012,Poland,6.533420551,Center
2013,Poland,6.665894681,Center
2014,Poland,6.319292645,Center
2015,Poland,5.685965441,Center
2016,Poland,3.973589136,Center
2017,Poland,4.231993931,Center
2018,Poland,5.719974104,Center
2019,Poland,6.199830151,Center
2020,Poland,6.575229552,Center
2004,Portugal,0.423649486,South
2005,Portugal,0.450393958,South
2006,Portugal,1.630680124,South
2007,Portugal,2.432810102,South
2008,Portugal,2.514926314,South
2009,Portugal,3.884862667,South
2010,Portugal,5.548456838,South
2011,Portugal,0.694535286,South
2012,Portugal,0.806670349,South
2013,Portugal,0.925039772,South
2014,Portugal,3.666746719,South
2015,Portugal,7.431303845,South
2016,Portugal,7.646740092,South
2017,Portugal,7.913761236,South
2018,Portugal,9.037264891,South
2019,Portugal,9.088915439,South
2020,Portugal,9.700517939,South
2004,Romania,1.819319408,South
2005,Romania,1.871524898,South
2006,Romania,1.537521608,South
2007,Romania,1.641003433,South
2008,Romania,1.345411805,South
2009,Romania,1.29744359,South
2010,Romania,1.366255921,South
2011,Romania,5.534935399,South
2012,Romania,4.962035124,South
2013,Romania,5.444742737,South
2014,Romania,4.675417841,South
2015,Romania,5.488172032,South
2016,Romania,6.169060014,South
2017,Romania,6.558226692,South
2018,Romania,6.341891576,South
2019,Romania,7.846368949,South
2020,Romania,8.540161878,South
2004,Slovenia,0.850431944,South
2005,Slovenia,0.83077885,South
2006,Slovenia,1.056455333,South
2007,Slovenia,1.472566874,South
2008,Slovenia,1.773338984,South
2009,Slovenia,2.250818708,South
2010,Slovenia,3.117918256,South
2011,Slovenia,2.476705618,South
2012,Slovenia,3.251731188,South
2013,Slovenia,3.76942019,South
2014,Slovenia,2.875743528,South
2015,Slovenia,2.241995906,South
2016,Slovenia,1.601375034,South
2017,Slovenia,2.570879837,South
2018,Slovenia,5.4801647,South
2019,Slovenia,7.982572321,South
2020,Slovenia,10.91052084,South
2004,Slovakia,1.500336208,Center
2005,Slovakia,1.660312803,Center
2006,Slovakia,3.29476184,Center
2007,Slovakia,3.994417221,Center
2008,Slovakia,4.278330155,Center
2009,Slovakia,5.364423651,Center
2010,Slovakia,5.292419808,Center
2011,Slovakia,5.726867151,Center
2012,Slovakia,5.595710209,Center
2013,Slovakia,6.212045962,Center
2014,Slovakia,7.951175373,Center
2015,Slovakia,8.630872255,Center
2016,Slovakia,7.764511215,Center
2017,Slovakia,6.949599713,Center
2018,Slovakia,6.988033829,Center
2019,Slovakia,8.308086013,Center
2020,Slovakia,9.259345265,Center
2004,Finland,1.009623019,North
2005,Finland,0.909560309,North
2006,Finland,0.956497667,North
2007,Finland,1.025363036,North
2008,Finland,2.909481342,North
2009,Finland,4.556315923,North
2010,Finland,4.386455862,North
2011,Finland,1.003683789,North
2012,Finland,1.049300394,North
2013,Finland,10.66527841,North
2014,Finland,24.12005165,North
2015,Finland,24.56205361,North
2016,Finland,8.813621889,North
2017,Finland,18.67418263,North
2018,Finland,14.76608539,North
2019,Finland,14.31646257,North
2020,Finland,13.43823367,North
2004,Sweden,6.288179405,North
2005,Sweden,6.595985178,North
2006,Sweden,7.509305773,North
2007,Sweden,8.421133191,North
2008,Sweden,8.693137316,North
2009,Sweden,9.355687166,North
2010,Sweden,9.626667999,North
2011,Sweden,11.93818926,North
2012,Sweden,13.77676626,North
2013,Sweden,15.31526513,North
2014,Sweden,18.83099378,North
2015,Sweden,21.48953078,North
2016,Sweden,26.55987223,North
2017,Sweden,26.84216903,North
2018,Sweden,29.6955981,North
2019,Sweden,30.30903415,North
2020,Sweden,31.85427654,North
